Date,Home-team,Goals,Away-team
18-09-2022,Nizhny Novgorod,0 - 2,Gazovik Orenburg
01-10-2022,Gazovik Orenburg,4 - 1,FK SOCHI
09-10-2022,Gazovik Orenburg,2 - 1,Terek Grozny
15-10-2022,Dinamo Moscow,3 - 2,Gazovik Orenburg
23-10-2022,Gazovik Orenburg,2 - 2,CSKA Moscow
28-10-2022,Gazovik Orenburg,4 - 1,Fakel Voronezh
04-11-2022,FC Khimki,2 - 0,Gazovik Orenburg
13-11-2022,Gazovik Orenburg,5 - 1,Krasnodar
04-03-2023,Terek Grozny,3 - 1,Gazovik Orenburg
10-03-2023,FK SOCHI,0 - 4,Gazovik Orenburg
10-03-2023,FK SOCHI,? - ?,Gazovik Orenburg
17-07-2022,Krasnodar,2 - 2,Fakel Voronezh
23-07-2022,Krasnodar,1 - 4,Spartak M
29-07-2022,Ural,1 - 3,Krasnodar
06-08-2022,Krasnodar,3 - 0,Lokomotiv M
13-08-2022,Dinamo Moscow,0 - 0,Krasnodar
21-08-2022,Krasnodar,2 - 0,Gazovik Orenburg
28-08-2022,Torpedo Moskva,1 - 4,Krasnodar
03-09-2022,Krasnodar,2 - 1,FK SOCHI
10-09-2022,CSKA Moscow,4 - 1,Krasnodar
18-09-2022,Krasnodar,3 - 1,FC Khimki
03-10-2022,Krylya Samara,0 - 0,Krasnodar
09-10-2022,Rostov,3 - 2,Krasnodar
15-10-2022,Krasnodar,2 - 3,Terek Grozny
22-10-2022,Nizhny Novgorod,0 - 2,Krasnodar
30-10-2022,Krasnodar,0 - 1,Zenit St Petersburg
05-11-2022,Fakel Voronezh,3 - 3,Krasnodar
13-11-2022,Gazovik Orenburg,5 - 1,Krasnodar
05-03-2023,Krasnodar,2 - 2,Torpedo Moskva
11-03-2023,Krasnodar,? - ?,Dinamo Moscow
16-07-2022,Gazovik Orenburg,2 - 4,Krylya Samara
22-07-2022,Zenit St Petersburg,3 - 0,Krylya Samara
31-07-2022,Krylya Samara,1 - 1,Torpedo Moskva
07-08-2022,Krylya Samara,0 - 2,Dinamo Moscow
13-08-2022,Lokomotiv M,1 - 1,Krylya Samara
19-08-2022,Krylya Samara,1 - 1,Fakel Voronezh
27-08-2022,Terek Grozny,1 - 2,Krylya Samara
04-09-2022,Krylya Samara,0 - 1,CSKA Moscow
10-09-2022,FC Khimki,0 - 0,Krylya Samara
17-09-2022,Rostov,2 - 1,Krylya Samara
03-10-2022,Krylya Samara,0 - 0,Krasnodar
09-10-2022,Spartak M,5 - 2,Krylya Samara
16-10-2022,Krylya Samara,2 - 0,FK SOCHI
24-10-2022,Ural,2 - 1,Krylya Samara
30-10-2022,Krylya Samara,2 - 1,Nizhny Novgorod
06-11-2022,Torpedo Moskva,0 - 2,Krylya Samara
12-11-2022,Krylya Samara,1 - 3,Rostov
05-03-2023,Dinamo Moscow,1 - 0,Krylya Samara
12-03-2023,CSKA Moscow,? - ?,Krylya Samara
17-07-2022,Lokomotiv M,1 - 1,Nizhny Novgorod
24-07-2022,Lokomotiv M,2 - 2,Rostov
30-07-2022,Zenit St Petersburg,5 - 0,Lokomotiv M
06-08-2022,Krasnodar,3 - 0,Lokomotiv M
13-08-2022,Lokomotiv M,1 - 1,Krylya Samara
20-08-2022,FC Khimki,0 - 3,Lokomotiv M
28-08-2022,Lokomotiv M,5 - 1,Gazovik Orenburg
04-09-2022,Lokomotiv M,1 - 2,Terek Grozny
11-09-2022,Fakel Voronezh,2 - 0,Lokomotiv M
18-09-2022,Spartak M,1 - 0,Lokomotiv M
01-10-2022,Lokomotiv M,2 - 4,Ural
08-10-2022,FK SOCHI,4 - 0,Lokomotiv M
15-10-2022,Torpedo Moskva,0 - 1,Lokomotiv M
22-10-2022,Lokomotiv M,1 - 3,Dinamo Moscow
29-10-2022,Lokomotiv M,0 - 1,CSKA Moscow
06-11-2022,Ural,2 - 2,Lokomotiv M
12-11-2022,Lokomotiv M,1 - 2,Spartak M
04-03-2023,Rostov,1 - 3,Lokomotiv M
11-03-2023,Terek Grozny,? - ?,Lokomotiv M
17-07-2022,Lokomotiv M,1 - 1,Nizhny Novgorod
24-07-2022,FC Khimki,3 - 0,Nizhny Novgorod
31-07-2022,Nizhny Novgorod,2 - 2,CSKA Moscow
07-08-2022,FK SOCHI,2 - 1,Nizhny Novgorod
14-08-2022,Nizhny Novgorod,3 - 4,Rostov
20-08-2022,Ural,0 - 1,Nizhny Novgorod
27-08-2022,Nizhny Novgorod,2 - 2,Dinamo Moscow
03-09-2022,Nizhny Novgorod,3 - 1,Fakel Voronezh
10-09-2022,Terek Grozny,1 - 3,Nizhny Novgorod
18-09-2022,Nizhny Novgorod,0 - 2,Gazovik Orenburg
02-10-2022,Nizhny Novgorod,1 - 2,Spartak M
09-10-2022,Torpedo Moskva,0 - 0,Nizhny Novgorod
16-10-2022,Nizhny Novgorod,0 - 3,Zenit St Petersburg
22-10-2022,Nizhny Novgorod,0 - 2,Krasnodar
30-10-2022,Krylya Samara,2 - 1,Nizhny Novgorod
05-11-2022,CSKA Moscow,0 - 1,Nizhny Novgorod
11-11-2022,Nizhny Novgorod,3 - 2,Terek Grozny
04-03-2023,Zenit St Petersburg,3 - 0,Nizhny Novgorod
12-03-2023,Rostov,? - ?,Nizhny Novgorod
17-07-2022,Dinamo Moscow,1 - 1,Rostov
24-07-2022,Lokomotiv M,2 - 2,Rostov
31-07-2022,Rostov,1 - 0,FC Khimki
07-08-2022,Rostov,2 - 1,Gazovik Orenburg
14-08-2022,Nizhny Novgorod,3 - 4,Rostov
20-08-2022,Rostov,2 - 2,FK SOCHI
28-08-2022,Rostov,0 - 0,CSKA Moscow
05-09-2022,Torpedo Moskva,0 - 1,Rostov
11-09-2022,Rostov,4 - 2,Spartak M
17-09-2022,Rostov,2 - 1,Krylya Samara
02-10-2022,Zenit St Petersburg,3 - 1,Rostov
09-10-2022,Rostov,3 - 2,Krasnodar
14-10-2022,Rostov,1 - 2,Ural
22-10-2022,Fakel Voronezh,1 - 1,Rostov
29-10-2022,Terek Grozny,1 - 2,Rostov
06-11-2022,Rostov,2 - 1,Dinamo Moscow
12-11-2022,Krylya Samara,1 - 3,Rostov
04-03-2023,Rostov,1 - 3,Lokomotiv M
12-03-2023,Rostov,? - ?,Nizhny Novgorod
16-07-2022,Terek Grozny,1 - 1,Spartak M
23-07-2022,Krasnodar,1 - 4,Spartak M
31-07-2022,Spartak M,4 - 1,Gazovik Orenburg
06-08-2022,Ural,0 - 2,Spartak M
14-08-2022,Spartak M,3 - 0,FK SOCHI
20-08-2022,Dinamo Moscow,1 - 0,Spartak M
27-08-2022,Fakel Voronezh,1 - 4,Spartak M
04-09-2022,Spartak M,1 - 2,Zenit St Petersburg
11-09-2022,Rostov,4 - 2,Spartak M
18-09-2022,Spartak M,1 - 0,Lokomotiv M
02-10-2022,Nizhny Novgorod,1 - 2,Spartak M
09-10-2022,Spartak M,5 - 2,Krylya Samara
16-10-2022,CSKA Moscow,2 - 2,Spartak M
23-10-2022,Spartak M,5 - 0,FC Khimki
30-10-2022,Spartak M,1 - 0,Torpedo Moskva
05-11-2022,FK SOCHI,1 - 1,Spartak M
12-11-2022,Lokomotiv M,1 - 2,Spartak M
04-03-2023,Spartak M,2 - 2,Ural
11-03-2023,Spartak M,? - ?,Fakel Voronezh
16-07-2022,Terek Grozny,1 - 1,Spartak M
24-07-2022,Terek Grozny,2 - 1,Fakel Voronezh
30-07-2022,FK SOCHI,2 - 1,Terek Grozny
06-08-2022,Terek Grozny,0 - 0,Zenit St Petersburg
14-08-2022,FC Khimki,1 - 3,Terek Grozny
21-08-2022,CSKA Moscow,4 - 2,Terek Grozny
27-08-2022,Terek Grozny,1 - 2,Krylya Samara
04-09-2022,Lokomotiv M,1 - 2,Terek Grozny
10-09-2022,Terek Grozny,1 - 3,Nizhny Novgorod
17-09-2022,Ural,1 - 2,Terek Grozny
02-10-2022,Terek Grozny,2 - 1,Dinamo Moscow
09-10-2022,Gazovik Orenburg,2 - 1,Terek Grozny
15-10-2022,Krasnodar,2 - 3,Terek Grozny
23-10-2022,Terek Grozny,1 - 0,Torpedo Moskva
29-10-2022,Terek Grozny,1 - 2,Rostov
05-11-2022,Zenit St Petersburg,1 - 2,Terek Grozny
11-11-2022,Nizhny Novgorod,3 - 2,Terek Grozny
04-03-2023,Terek Grozny,3 - 1,Gazovik Orenburg
11-03-2023,Terek Grozny,? - ?,Lokomotiv M
17-07-2022,Torpedo Moskva,1 - 3,FK SOCHI
24-07-2022,Dinamo Moscow,4 - 0,Torpedo Moskva
31-07-2022,Krylya Samara,1 - 1,Torpedo Moskva
07-08-2022,Torpedo Moskva,1 - 3,FC Khimki
14-08-2022,Gazovik Orenburg,1 - 0,Torpedo Moskva
21-08-2022,Zenit St Petersburg,2 - 0,Torpedo Moskva
28-08-2022,Torpedo Moskva,1 - 4,Krasnodar
05-09-2022,Torpedo Moskva,0 - 1,Rostov
11-09-2022,Ural,2 - 0,Torpedo Moskva
17-09-2022,Torpedo Moskva,1 - 0,CSKA Moscow
02-10-2022,Fakel Voronezh,2 - 2,Torpedo Moskva
09-10-2022,Torpedo Moskva,0 - 0,Nizhny Novgorod
15-10-2022,Torpedo Moskva,0 - 1,Lokomotiv M
